track_id,album_id,album_title,artist_id,artist_name,track_date_recorded,track_genres,track_interest,track_number,track_title,artist_nacionality,track_price,artist_nacionality,track_price
157,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,209,2,Track 02,Brasileiro,0.77,Indiano,1.0
158,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,213,3,Track 03,Australiano,0.82,Russo,0.74
159,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,170,4,Track 04,Francês,0.97,Inglês,0.97
160,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,147,5,Track 05,Alemão,1.32,Inglês,1.18
161,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,175,6,Track 06,Indiano,0.76,Italiano,1.01
162,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,176,7,Track 07,Brasileiro,1.12,Espanhol,0.72
163,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,162,8,Track 08,Japonês,1.35,Brasileiro,0.82
164,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,138,9,Track 09,Australiano,1.27,Indiano,0.9
165,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,159,10,Track 10,Japonês,0.98,Inglês,0.85
166,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,275,11,Track 11,Australiano,1.36,Chinês,0.83
167,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,149,12,Track 12,Chinês,1.11,Inglês,0.97
168,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,151,13,Track 13,Português,0.7,Japonês,1.29
169,72,Boss of Goth,62,Argumentix,01/01/2006,Punk,815,1,Boss of Goth,Americano,0.84,Português,1.15
170,73,Nightmarcher,62,Argumentix,10/07/2006,Punk,468,2,Industry Standard Massacre,Português,0.74,Indiano,1.06
171,74,Victim of Your Life,62,Argumentix,11/26/2008,Punk,582,2,Marching as Technitions,Canadiano,1.28,Chinês,0.94
172,75,Heir to the Power Bear Fortune,62,Argumentix,06/01/2007,Punk,468,3,I Can't Stand You Up-right,Brasileiro,0.92,Italiano,1.36
173,72,Boss of Goth,62,Argumentix,01/01/2006,Punk,475,4,Save Life's Golden Receipt In Case Refund Needed,Francês,1.19,Alemão,1.14
174,72,Boss of Goth,62,Argumentix,01/01/2006,Punk,405,6,Senator's Stance,Espanhol,0.94,Australiano,0.97
175,73,Nightmarcher,62,Argumentix,10/07/2006,Punk,365,6,Snapped Today,Japonês,1.17,Indiano,0.8
176,74,Victim of Your Life,62,Argumentix,11/26/2008,Punk,461,6,Step Up to Legends,Canadiano,0.72,Chinês,0.77
177,72,Boss of Goth,62,Argumentix,01/01/2006,Punk,529,7,Petty Hate Machine,Francês,0.82,Italiano,1.12
178,76,"Tarantula Downpour 7""",62,Argumentix,02/01/2006,Punk,287,0,Lend Me a Blanket,Japonês,1.36,Inglês,0.98
179,77,Dracula Safari,62,Argumentix,11/26/2008,Punk,591,0,Ready to Die,Italiano,0.91,Francês,0.77
181,79,Scared Famous,64,Ariel Pink's Haunted Graffiti,01/01/2006,Lo-Fi,1736,1,Gopacapulco,Indiano,0.96,Chinês,1.02
182,80,Worn Copy,64,Ariel Pink's Haunted Graffiti,11/26/2008,Lo-Fi,5990,3,Jules Lost His Jewels,Francês,0.96,Brasileiro,1.08
183,81,The Doldrums,64,Ariel Pink's Haunted Graffiti,11/26/2008,Lo-Fi,1264,4,For Kate I Wait,Chinês,0.96,Espanhol,1.36
184,82,House Arrest,64,Ariel Pink's Haunted Graffiti,11/26/2008,Lo-Fi,1197,6,Helen,Inglês,1.16,Francês,1.0
185,83,Homemade Hits Vol. 1,64,Ariel Pink's Haunted Graffiti,01/01/2002,Experimental Pop,1426,9,Want Me,Mexicano,1.2,Chinês,0.8
188,84,Blue Piano,127,Ed Askew,,Folk,3137,1,Piano 1,Americano,1.29,Português,1.02
189,85,What I Know,127,Ed Askew,11/26/2008,Folk,730,1,The Thought Of It,Francês,0.79,Japonês,1.37
190,84,Blue Piano,127,Ed Askew,,Folk,1758,2,Castle Of Stars,Português,1.37,Inglês,0.92
191,85,What I Know,127,Ed Askew,11/26/2008,Folk,1224,2,Song About Michael,Chinês,1.26,Italiano,1.36
192,85,What I Know,127,Ed Askew,11/26/2008,Folk,472,3,Ed Talk WNYC,Brasileiro,1.06,Australiano,1.0
193,84,Blue Piano,127,Ed Askew,,Folk,1679,3,Here With You,Português,1.24,Português,1.29
194,84,Blue Piano,127,Ed Askew,,Folk,1780,4,All I want to Do,Australiano,1.31,Mexicano,1.07
195,85,What I Know,127,Ed Askew,11/26/2008,Folk,567,4,I Remember You,Chinês,1.27,Indiano,0.89
196,85,What I Know,127,Ed Askew,11/26/2008,Folk,524,5,Bright Mr Brother,Francês,1.06,Chinês,0.87
197,84,Blue Piano,127,Ed Askew,,Folk,2286,5,Piano 2,Brasileiro,1.26,Russo,1.17
198,84,Blue Piano,127,Ed Askew,,Folk,1784,6,It Breaks My Heart,Inglês,1.3,Canadiano,1.28
199,85,What I Know,127,Ed Askew,11/26/2008,Folk,459,6,Rimbaud,Inglês,1.32,Russo,0.85
200,84,Blue Piano,127,Ed Askew,,Folk,1945,7,Baby Come Home,Inglês,0.83,Chinês,0.84
201,85,What I Know,127,Ed Askew,11/26/2008,Folk,870,7,Big City,Indiano,1.14,Italiano,0.78
202,85,What I Know,127,Ed Askew,11/26/2008,Folk,682,8,Palomino,Inglês,0.95,Russo,1.32
203,84,Blue Piano,127,Ed Askew,,Folk,1737,8,Song For R,Australiano,1.19,Alemão,1.0
204,84,Blue Piano,127,Ed Askew,,Folk,1954,9,My Dream,Canadiano,1.04,Americano,1.18
205,85,What I Know,127,Ed Askew,11/26/2008,Folk,556,9,What Crow Saw,Mexicano,0.99,Espanhol,0.88
206,85,What I Know,127,Ed Askew,11/26/2008,Folk,510,10,Bella Crane,Australiano,0.84,Alemão,1.0
207,84,Blue Piano,127,Ed Askew,,Folk,2811,10,Piano 3,Inglês,1.3,Italiano,0.73
208,84,Blue Piano,127,Ed Askew,,Folk,1239,11,Safe Harbor,Francês,0.88,Brasileiro,1.1
209,84,Blue Piano,127,Ed Askew,,Folk,1276,12,Safe Harbor,Americano,1.34,Espanhol,1.33
210,84,Blue Piano,127,Ed Askew,,Folk,3706,13,In the French Court,Japonês,1.05,Americano,1.17
211,84,Blue Piano,127,Ed Askew,,Folk,16106,14,In America,Australiano,1.22,Brasileiro,1.37
212,84,Blue Piano,127,Ed Askew,,Folk,2299,15,When I Arive,Indiano,1.24,Russo,1.12
213,86,Au,66,Au,01/01/2007,Pop,2828,1,Boute,Russo,0.71,Alemão,1.31
226,88,Bad News Bats,68,Bad News Bats,01/01/2006,Punk,2764,2,W.T.M.,Russo,0.77,Mexicano,1.29
228,88,Bad News Bats,68,Bad News Bats,01/01/2006,Punk,2467,4,Don't Run With Pizzas,Russo,0.88,Japonês,0.85
237,94,6,74,Barnacled,01/01/2003,Jazz,1391,7,Garbage and (Garbage and Fire),Alemão,0.98,Italiano,0.88
238,94,6,74,Barnacled,01/01/2003,Jazz,1394,11,France Attacks,Italiano,0.9,Mexicano,1.34
246,99,Open Relationship,80,Bird Names,10/20/2007,Experimental Pop,1650,1,Referents,Indiano,1.21,Canadiano,1.17
247,100,On Opaque Things,80,Bird Names,11/26/2006,Rock,1549,2,A New Map for Kissing,Espanhol,1.04,Francês,0.77
248,101,Wooden Lake Sexual Diner,80,Bird Names,8/26/2006,Experimental Pop,1345,2,Ghosts,Mexicano,1.16,Chinês,0.79
249,100,On Opaque Things,80,Bird Names,11/26/2006,Rock,1470,4,The Indefinite Time Yet to Come,Chinês,1.04,Francês,1.03
250,101,Wooden Lake Sexual Diner,80,Bird Names,8/26/2006,Experimental Pop,875,5,Smoovebiz,Inglês,1.2,Brasileiro,1.17
251,101,Wooden Lake Sexual Diner,80,Bird Names,8/26/2006,Experimental Pop,1122,9,Nobody Loves Me,Americano,0.99,Alemão,0.99
252,100,On Opaque Things,80,Bird Names,11/26/2006,Rock,512,10,It's Becoming a Stranger,Mexicano,0.99,Japonês,1.09
253,99,Open Relationship,80,Bird Names,10/20/2007,Experimental Pop,1647,10,New Life,Brasileiro,0.96,Espanhol,1.08
254,99,Open Relationship,80,Bird Names,10/20/2007,Experimental Pop,2418,11,Masters Of Enjoyment,Alemão,1.07,Português,0.98
255,100,On Opaque Things,80,Bird Names,11/26/2006,Rock,5585,12,We Want to be Old,Australiano,0.79,Português,1.12
256,102,Black Elk,81,Black Elk,11/07/2006,Metal,2864,1,Toggle,Indiano,0.95,Francês,1.2
257,102,Black Elk,81,Black Elk,11/07/2006,Metal,2177,2,My Lil',Americano,0.98,Português,0.76
258,102,Black Elk,81,Black Elk,11/07/2006,Metal,1779,4,Eyebone,Indiano,1.39,Russo,1.2
273,106,I,83,Black Pus,01/01/2005,Noise,255,2,Dildoughnuts,Chinês,1.03,Brasileiro,0.9
274,107,4: All Aboard the Magic Pus,83,Black Pus,11/26/2008,Noise,670,2,Land of the Lost,Canadiano,1.04,Alemão,1.39
275,105,III: Metamorpus,83,Black Pus,11/26/2008,Noise,332,2,Swampus,Americano,0.86,Brasileiro,0.94
276,104,II,83,Black Pus,11/26/2008,Noise,220,2,The Devilhellipers,Português,1.09,Mexicano,1.25
277,105,III: Metamorpus,83,Black Pus,11/26/2008,Noise,329,3,Kind Companion,Mexicano,1.07,Italiano,0.78
281,107,4: All Aboard the Magic Pus,83,Black Pus,11/26/2008,Noise,2202,4,Juggernaut,Português,1.32,Russo,0.79
282,104,II,83,Black Pus,11/26/2008,Noise,229,4,New Atlantis A,Russo,1.0,Russo,0.71
284,106,I,83,Black Pus,01/01/2005,Noise,229,4,Translucent Human,Inglês,0.75,Americano,1.12
285,105,III: Metamorpus,83,Black Pus,11/26/2008,Noise,339,5,Earth aint Enuff,Alemão,1.28,Canadiano,1.05
293,106,I,83,Black Pus,01/01/2005,Noise,256,7,Berserk is the Best,Italiano,0.75,Francês,0.75
294,104,II,83,Black Pus,11/26/2008,Noise,281,7,Magic Bullet,Francês,1.1,Canadiano,0.92
297,107,4: All Aboard the Magic Pus,83,Black Pus,11/26/2008,Noise,456,8,Body on the Tide,Americano,1.06,Francês,1.22
300,106,I,83,Black Pus,01/01/2005,Noise,406,8,The Foot Is Stronger Than The Arm,Australiano,0.96,Chinês,1.24
303,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,159,1,Splish spladdy,Espanhol,0.75,Chinês,1.23
304,109,Stripey Collection,84,Blah Blah Blah,11/26/1982,Post-Punk,241,1,Woo You,Indiano,0.81,Italiano,0.92
305,110,Gold Collection,84,Blah Blah Blah,01/01/1981,Post-Punk,2873,2,Disney on Ice,Russo,1.27,Indiano,0.77
306,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,131,2,The Prime Four,Francês,1.37,Mexicano,1.02
307,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,289,3,Out on the farm,Mexicano,0.89,Japonês,0.78
308,109,Stripey Collection,84,Blah Blah Blah,11/26/1982,Post-Punk,345,4,The Hotel,Japonês,1.05,Americano,1.32
309,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,147,4,Where are all the people,Espanhol,1.04,Chinês,1.08
310,110,Gold Collection,84,Blah Blah Blah,01/01/1981,Post-Punk,194,5,Going Down to Soho,Australiano,1.25,Italiano,1.26
311,109,Stripey Collection,84,Blah Blah Blah,11/26/1982,Post-Punk,1597,5,Tropical Holiday Time,Português,0.93,Espanhol,0.94
312,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,833,6,Tropical Sheep,Russo,0.81,Canadiano,1.06
313,109,Stripey Collection,84,Blah Blah Blah,11/26/1982,Post-Punk,141,7,Think Things Of You,Japonês,1.03,Português,1.26
314,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,142,8,Daisey Chains,Canadiano,1.07,Inglês,1.3
315,110,Gold Collection,84,Blah Blah Blah,01/01/1981,Post-Punk,383,8,Interference,Indiano,1.0,Japonês,0.89
316,110,Gold Collection,84,Blah Blah Blah,01/01/1981,Post-Punk,156,9,Itching in my pants,Americano,1.32,Russo,0.76
317,109,Stripey Collection,84,Blah Blah Blah,11/26/1982,Post-Punk,322,9,Very Nice,Italiano,1.37,Australiano,0.87
318,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,209,0,1-2-3-4,Francês,1.37,Russo,1.39
319,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,422,10,Complete Shakespeare,Russo,0.72,Russo,1.04
320,110,Gold Collection,84,Blah Blah Blah,01/01/1981,Post-Punk,406,10,The Natives are Restless,Mexicano,1.2,Canadiano,1.07
321,109,Stripey Collection,84,Blah Blah Blah,11/26/1982,Post-Punk,693,11,Heart Attack,Australiano,1.06,Espanhol,1.01
322,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,386,11,Shopping Bag,Americano,1.4,Brasileiro,1.39
323,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,171,12,Crocodile Song,Australiano,0.98,Chinês,1.32
324,109,Stripey Collection,84,Blah Blah Blah,11/26/1982,Post-Punk,185,12,I just don't know,Mexicano,1.28,Americano,0.89
325,110,Gold Collection,84,Blah Blah Blah,01/01/1981,Post-Punk,300,12,Liquidizing Chickens,Alemão,0.84,Francês,0.8
326,109,Stripey Collection,84,Blah Blah Blah,11/26/1982,Post-Punk,286,13,Burn,Italiano,1.37,Italiano,0.79
327,109,Stripey Collection,84,Blah Blah Blah,11/26/1982,Post-Punk,234,15,Hands Beckoning,Canadiano,1.09,Inglês,1.12
328,109,Stripey Collection,84,Blah Blah Blah,11/26/1982,Post-Punk,328,16,Central Park,Mexicano,0.88,Alemão,1.17
330,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,146,17,White Man,Espanhol,1.38,Espanhol,0.89
331,108,Green Collection,84,Blah Blah Blah,09/01/2007,Post-Punk,187,19,Weatherman,Canadiano,1.12,Francês,0.71
332,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,139,0,39th floor Club,Brasileiro,1.18,Canadiano,1.04
333,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,423,0,Blah intro,Japonês,1.18,Mexicano,0.72
334,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,405,0,Blahpunk,Japonês,0.88,Italiano,1.05
335,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,303,0,Bored,Russo,0.76,Inglês,1.3
336,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,226,0,Breeder,Russo,1.22,Italiano,1.16
337,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,279,0,Brian's Garage,Francês,1.02,Inglês,1.28
338,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,196,0,Cabages in the sunset,Inglês,1.21,Inglês,0.92
339,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,177,0,Chimpanzees disease,Japonês,1.11,Chinês,0.99
340,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,363,0,Circles in London,Espanhol,0.95,Mexicano,0.9
341,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,1498,0,Count Dracula's castle,Mexicano,1.23,Canadiano,1.01
342,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,240,0,Crash,Chinês,1.06,Brasileiro,0.8
343,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,5683,0,Cybernetics,Russo,0.84,Indiano,1.24
344,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,190,0,Denver,Russo,1.26,Japonês,1.28
345,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,326,0,Ding dang (skat),Português,0.87,Francês,0.74
346,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,252,0,Disco Ghoul,Espanhol,0.85,Indiano,1.32
347,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,202,0,Down in the pits again,Português,1.3,Chinês,0.98
348,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,132,0,Excretia,Russo,1.15,Alemão,1.19
349,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,191,0,Garden of Eden,Italiano,0.94,Espanhol,1.32
350,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,168,0,Gotta Go,Português,0.83,Português,1.07
351,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,269,0,Hippopotamus,Chinês,1.06,Japonês,1.28
352,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,609,0,In Arabia,Brasileiro,1.13,Espanhol,1.25
353,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,01/01/1981,Post-Punk,212,0,In my Grandfather's Clock,Português,0.72,Italiano,1.38
354,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,186,0,Julie Andrews,Australiano,1.1,Indiano,0.76
355,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,133,0,Just you wait and see,Russo,0.89,Americano,0.8
356,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,179,0,Little White Boxes,Americano,1.17,Indiano,0.71
357,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,215,0,Mr Mystery,Alemão,1.17,Inglês,1.15
358,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,294,0,My House,Italiano,1.18,Australiano,1.15
359,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,130,0,My Room,Brasileiro,0.71,Português,1.3
360,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,332,0,Radio Jazz with Mr Rhodes,Chinês,1.31,Australiano,0.92
361,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,140,0,Red coated young girlfriend,Chinês,0.94,Italiano,1.0
362,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,,Post-Punk,131,0,Starsigns,Francês,0.93,Alemão,0.98
363,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,184,0,Sugar Bowl,Italiano,0.84,Mexicano,1.18
364,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,113,0,Sunspot activity,Russo,1.31,Australiano,0.94
365,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,445,0,The Sound of Music,Russo,1.31,Russo,1.24
366,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,141,0,The Swamp,Australiano,1.07,Japonês,1.32
367,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,139,0,There goes my greenhouse,Chinês,1.14,Chinês,1.1
368,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,3572,0,Vampires,Australiano,0.98,Brasileiro,0.82
369,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,2366,0,Whistle while you work,Português,0.92,Mexicano,1.11
370,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,173,0,Why didn't Nero?,Alemão,1.07,Indiano,1.15
371,112,30th Anniversary Blah Blah Blah,84,Blah Blah Blah,11/26/2008,Post-Punk,114,0,vermalderhide,Americano,1.08,Inglês,1.05
384,116,Summer Set,86,Blanketship,01/01/2005,Electronic,1343,2,Baja Jones,Chinês,1.14,Alemão,1.27
385,116,Summer Set,86,Blanketship,01/01/2005,Electronic,1788,3,Lucky 45,Italiano,1.13,Alemão,0.76
386,116,Summer Set,86,Blanketship,01/01/2005,Electronic,1630,5,Clapartroach,Japonês,1.04,Russo,1.25
387,116,Summer Set,86,Blanketship,01/01/2005,Electronic,1387,8,I wish I wish,Italiano,0.89,Mexicano,0.74
394,119,Boogie Witch,89,Boogie Witch,6/27/2002,Rock,689,3,Boogie Hole,Inglês,1.25,Alemão,0.7
395,119,Boogie Witch,89,Boogie Witch,6/27/2002,Rock,619,2,Transfiguration Boogie,Canadiano,0.78,Alemão,1.21
396,1697,On the Back of a Dying Beast: Volume 1,90,Borful Tang,8/30/2006,Electronic,808,1,Juggernaut Soliloquy,Chinês,1.02,Inglês,1.15
397,1697,On the Back of a Dying Beast: Volume 1,90,Borful Tang,8/30/2006,Electronic,3102,4,The Tides Of Land,Francês,1.04,Canadiano,1.17
398,122,Root,90,Borful Tang,07/05/2005,Electronic,1957,1,Borful Tang Loves Nomeansno,Russo,0.99,Português,1.14
399,122,Root,90,Borful Tang,07/05/2005,Electronic,1876,2,ELI,Inglês,0.76,Japonês,1.3
400,1697,On the Back of a Dying Beast: Volume 1,90,Borful Tang,8/30/2006,Electronic,2864,5,Electronic Interlude VI,Japonês,1.11,Brasileiro,1.21
401,1697,On the Back of a Dying Beast: Volume 1,90,Borful Tang,8/30/2006,Electronic,2163,2,Modesto,Chinês,0.74,Japonês,1.06
402,1697,On the Back of a Dying Beast: Volume 1,90,Borful Tang,8/30/2006,Electronic,1508,6,Oh Kap Soon,Chinês,0.8,Brasileiro,1.36
403,123,split with Sunshine Militant Children's Hour,90,Borful Tang,01/01/2006,Electronic,2582,3,Roach,Australiano,1.0,Indiano,1.14
404,1697,On the Back of a Dying Beast: Volume 1,90,Borful Tang,8/30/2006,Electronic,1478,3,Wonder Inn,Indiano,0.9,Canadiano,0.82
405,122,Root,90,Borful Tang,07/05/2005,Electronic,1458,3,Majestic Shuffle,Brasileiro,0.94,Indiano,1.11
406,1697,On the Back of a Dying Beast: Volume 1,90,Borful Tang,8/30/2006,Electronic,1369,7,ELI,Japonês,1.03,Japonês,1.22
407,122,Root,90,Borful Tang,07/05/2005,Electronic,713,4,Soundclash At Wonder Inn (ft. Qulfus),Canadiano,1.06,Alemão,1.23
408,123,split with Sunshine Militant Children's Hour,90,Borful Tang,01/01/2006,Electronic,1093,4,The Tides Of Land,Italiano,1.28,Brasileiro,1.1
410,122,Root,90,Borful Tang,07/05/2005,Electronic,754,5,Lost on the Eastern Side of the Island,Francês,0.86,Espanhol,1.37
411,122,Root,90,Borful Tang,07/05/2005,Electronic,625,6,Orp,Australiano,0.9,Indiano,1.24
412,122,Root,90,Borful Tang,07/05/2005,Electronic,454,7,John And Mary - The Meeting,Brasileiro,0.95,Alemão,1.09
